content.address,content.cuisine-type,content.day,content.hours,content.icon,content.pathsData,content.price,content.rating,content.title,content.walking-distance-workshop,content.walking-time-workshop,content.vegetarian,content.vegan,content.gluten-free
"34 Rue Massena, 06000 Nice, France",Pizza,02,11:30 AM – 1:00 AM,it,"[{""lat"": 43.69634045248791, ""lng"": 7.263210178246357}, {""lat"": 43.69674047149913, ""lng"": 7.265056513449291}, {""lat"": 43.69693535723807, ""lng"": 7.265297788569322}]",$$,⭐⭐⭐⭐(4.3),La Pizza Cresci,240 meters,3 minutes,yes,yes,no
"43 Rue Massena, 06000 Nice, France",Canadian,02,11:30 AM – 1:00 AM,ca,"[{""lat"": 43.69634045248791, ""lng"": 7.263210178246357}, {""lat"": 43.69674047149913, ""lng"": 7.265056513449291}, {""lat"": 43.69685767558586, ""lng"": 7.265344912616205}]",$$,⭐⭐⭐⭐(4.0),Le Québec,240 meters,3 minutes,no,yes,no
"1 Rue Dalpozzo, 06000 Nice, France",Lebanese,02,12:00 PM – 3:00 PM,lb,"[{""lat"": 43.695810, ""lng"": 7.263350}, {""lat"": 43.696394581534676, ""lng"": 7.263220139548746}, {""lat"": 43.69614452283673, ""lng"": 7.262488841581995}, {""lat"": 43.69604838181045, ""lng"": 7.261803604128688}, {""lat"": 43.6963264256787, ""lng"": 7.261740747516318}]",$$ / $$$,⭐⭐⭐⭐⭐(4.9),Téta Marie,200 meters,3 minutes,yes,yes,no
"10 Rue Meyerbeer, 06000 Nice, France",Italian,02,12:00 PM – 2:30 PM,it,"[ {""lat"": 43.695810, ""lng"": 7.263350}, {""lat"": 43.696394581534676, ""lng"": 7.263220139548746}, {""lat"": 43.69614452283673, ""lng"": 7.262488841581995}, {""lat"": 43.695882600240466, ""lng"": 7.260846713458593}, {""lat"": 43.69608016999856, ""lng"": 7.260798014021199}]",$$,⭐⭐⭐⭐(4.6),Vabbuo,280 meters,4 minutes,yes,yes,no
"12 Rue Meyerbeer, 06000 Nice, France",French,02,8:30 AM – 11:00 PM,fr,"[{""lat"": 43.695810, ""lng"": 7.263350}, {""lat"": 43.696394581534676, ""lng"": 7.263220139548746}, {""lat"": 43.69614452283673,""lng"": 7.262488841581995}, {""lat"": 43.695882600240466,""lng"": 7.260846713458593}, {""lat"": 43.69619460367059, ""lng"": 7.260764194967707}]",$$,⭐⭐⭐⭐(4.4),Olim Meyerbeer,290 meters,4 minutes,no,yes,no
"4 Rue du Congrès, 06000 Nice, France",Modern French,02,10:00 AM – 3:00 PM,fr,"[{""lat"": 43.695810, ""lng"": 7.263350}, {""lat"": 43.695509148897905, ""lng"": 7.263454990712166}]    ",$$,⭐⭐⭐⭐⭐(4.9),Gago France,43 meters,1 minute,no,yes,no
"3 Prom. des Anglais, 06200 Nice, France",Beachfront Seafood,02,8:30 AM – 11:00 PM,fr,"[{""lat"": 43.695810, ""lng"": 7.263350}, {""lat"": 43.69476547693333, ""lng"": 7.263672347323503}, {""lat"": 43.69483902497268, ""lng"": 7.266002423034453}]",$$$,⭐⭐⭐⭐(4.3),Le Galet,300 meters,4 minutes,no,yes,no
"Via di Ripetta, 14, 00186 Roma RM, Italy",Italian,03,12:00 PM – 12:00 AM,it,"[{""lat"": 41.91154221095057, ""lng"": 12.472126735516312}, {""lat"": 41.912239702495235, ""lng"": 12.47181036965913}, {""lat"": 41.912577963399656, ""lng"": 12.47182420786128}, {""lat"": 41.912807760974495, ""lng"": 12.471761904559768}, {""lat"": 41.91295508244455, ""lng"": 12.471972247464196}, {""lat"": 41.91286914496305, ""lng"": 12.472194963480193}, {""lat"": 41.91299392753141, ""lng"": 12.472115760362541}, {""lat"": 41.91303651231508, ""lng"": 12.472217536909925}, {""lat"": 41.913167094097446, ""lng"": 12.472357201240003}, {""lat"": 41.91242992639202, ""lng"": 12.472684438302602}, {""lat"": 41.91217333583699, ""lng"": 12.472710817011041}, {""lat"": 41.91214918713026, ""lng"": 12.472559381181034}, {""lat"": 41.91010590509649, ""lng"": 12.473377855779459}, {""lat"": 41.909959666377354, ""lng"": 12.472898308985505}, {""lat"": 41.90979598595436, ""lng"": 12.472977632515509}, {""lat"": 41.909943566682244, ""lng"": 12.47357977022054}, {""lat"": 41.90939869000755, ""lng"": 12.474019628045156}, {""lat"": 41.90921102073256, ""lng"": 12.47619783593007}]",$$,⭐⭐⭐⭐(4.3),Pizzaré,950 meters,13 minutes,yes,yes,no
"Via della Fontanella, 12, 00187 Roma RM, Italy",Italian,03,11:00 AM - 1:00 AM,it,"[{""lat"": 41.91154221095057, ""lng"": 12.472126735516312}, {""lat"": 41.912239702495235, ""lng"": 12.47181036965913}, {""lat"": 41.912577963399656, ""lng"": 12.47182420786128}, {""lat"": 41.912807760974495, ""lng"": 12.471761904559768}, {""lat"": 41.91295508244455, ""lng"": 12.471972247464196}, {""lat"": 41.91286914496305, ""lng"": 12.472194963480193}, {""lat"": 41.91300581828368, ""lng"": 12.472120367990758}, {""lat"": 41.91303753091586, ""lng"": 12.472213846837823}, {""lat"": 41.9131480135132, ""lng"": 12.472338943529628}, {""lat"": 41.91355280277474, ""lng"": 12.474173716677445}, {""lat"": 41.91161986338608, ""lng"": 12.47491343594444}, {""lat"": 41.911779518048874, ""lng"": 12.475888840431647}, {""lat"": 41.909154009915774, ""lng"": 12.477074872868497}, {""lat"": 41.90919464857531, ""lng"": 12.477244760811658}]",$$,⭐⭐⭐⭐(4.2),Brillo Restaurant,1000 meters,11 minutes,yes,yes,yes
"Via Giuseppe Gioachino Belli, 116, 00193 Roma RM, Italy",Italian,03,12:30 PM – 3:30PM,it,"[{""lat"": 41.91154221095057, ""lng"": 12.472126735516312}, {""lat"": 41.912239702495235, ""lng"": 12.47181036965913}, {""lat"": 41.912577963399656, ""lng"": 12.47182420786128}, {""lat"": 41.912807760974495, ""lng"": 12.471761904559768}, {""lat"": 41.91295508244455, ""lng"": 12.471972247464196}, {""lat"": 41.91286914496305, ""lng"": 12.472194963480193}, {""lat"": 41.91299392753141, ""lng"": 12.472115760362541}, {""lat"": 41.91303651231508, ""lng"": 12.472217536909925}, {""lat"": 41.913167094097446, ""lng"": 12.472357201240003}, {""lat"": 41.91242992639202, ""lng"": 12.472684438302602}, {""lat"": 41.91217333583699, ""lng"": 12.472710817011041}, {""lat"": 41.91214918713026, ""lng"": 12.472559381181034}, {""lat"": 41.91010590509649, ""lng"": 12.473377855779459}, {""lat"": 41.90959692390635, ""lng"": 12.471380925608932}, {""lat"": 41.9093353932707, ""lng"": 12.47149047923464}, {""lat"": 41.909280007267355, ""lng"": 12.471396209792132}, {""lat"": 41.908596909261995, ""lng"": 12.471100997592389}, {""lat"": 41.90860798658504, ""lng"": 12.470971997302636}, {""lat"": 41.90708498250889, ""lng"": 12.470578787725778}, {""lat"": 41.90670286770186, ""lng"": 12.469430677759012}]",$$,⭐⭐⭐⭐(4.4),Orecchietteria Banfi,1200 meters,12 minutes,yes,yes,no
"Via Giuseppe Avezzana, 19/21, 00195 Roma RM, Italy",Italian Pizza,03,7:30 AM – 12:00 AM,it,"[{""lat"": 41.91154221095057, ""lng"": 12.472126735516312}, {""lat"": 41.912239702495235, ""lng"": 12.47181036965913}, {""lat"": 41.912577963399656, ""lng"": 12.47182420786128}, {""lat"": 41.912807760974495, ""lng"": 12.471761904559768}, {""lat"": 41.91295508244455, ""lng"": 12.471972247464196}, {""lat"": 41.91286914496305, ""lng"": 12.472194963480193}, {""lat"": 41.913493936028146, ""lng"": 12.471981708808222}, {""lat"": 41.91458478210135, ""lng"": 12.471399660435837}, {""lat"": 41.91437305369543, ""lng"": 12.469543236939597}, {""lat"": 41.914456675212755, ""lng"": 12.469112255281171}, {""lat"": 41.91497440649152, ""lng"": 12.467162391355167}, {""lat"": 41.915103970293714, ""lng"": 12.466951106370356}, {""lat"": 41.915324003981695, ""lng"": 12.466957909629523}, {""lat"": 41.91546823781389, ""lng"": 12.466785759514192}]",$,⭐⭐⭐⭐(4.3),L'Officina - Cucina dal mondo,800 meters,11 minutes,yes,yes,yes
"Via Giuseppe Avezzana, 11, 00195 Roma RM, Italy",Roman,03,12:30 PM – 3:30 PM,it,"[{""lat"": 41.91154221095057, ""lng"": 12.472126735516312}, {""lat"": 41.912239702495235, ""lng"": 12.47181036965913}, {""lat"": 41.912577963399656, ""lng"": 12.47182420786128}, {""lat"": 41.912807760974495, ""lng"": 12.471761904559768}, {""lat"": 41.91295508244455, ""lng"": 12.471972247464196}, {""lat"": 41.91286914496305, ""lng"": 12.472194963480193}, {""lat"": 41.913493936028146, ""lng"": 12.471981708808222}, {""lat"": 41.91458478210135, ""lng"": 12.471399660435837}, {""lat"": 41.91437305369543, ""lng"": 12.469543236939597}, {""lat"": 41.914456675212755, ""lng"": 12.469112255281171}, {""lat"": 41.91497440649152, ""lng"": 12.467162391355167}, {""lat"": 41.915103970293714, ""lng"": 12.466951106370356}, {""lat"": 41.91511144826643, ""lng"": 12.466824015095376}, {""lat"": 41.915312617086315, ""lng"": 12.466845693258048}]",$,⭐⭐⭐⭐(4.2),Cacio e Pepe,800 meters,11 minutes,no,no,no
"Via Cardinale Pietro Maffi, 36, 56126 Pisa PI, Italy",Pizza,04,10:00 AM - 11:30 PM,it,"[{""lat"": 43.723162362628486, ""lng"": 10.396418753985987}, {""lat"": 43.723182644185826, ""lng"": 10.397073582305502}, {""lat"": 43.72285142513266, ""lng"": 10.398916850189911}]",$$,⭐⭐⭐⭐(4.3),Kiste’ - La pizza artigianale,230 meters,3 minutes,yes,yes,yes
"Via Santa Maria, 157, 56126 Pisa PI, Italy",Tuscan,04,10:00 AM - 12:00 AM,it,"[{""lat"": 43.723162362628486, ""lng"": 10.396418753985987}, {""lat"": 43.72292867916758, ""lng"": 10.396341712862078}, {""lat"": 43.72242191141894, ""lng"": 10.396538931179665}, {""lat"": 43.7216029294825, ""lng"": 10.39706797714642}]",$$,⭐⭐⭐⭐(4.3),Ristoro Pecorino,160 meters,2 minutes,yes,yes,yes
"Via Santa Maria, 151, 56126 Pisa PI, Italy",Italian,04,11:00 AM - 10:00 PM,it,"[{""lat"": 43.723162362628486, ""lng"": 10.396418753985987}, {""lat"": 43.72292867916758, ""lng"": 10.396341712862078}, {""lat"": 43.72242191141894, ""lng"": 10.396538931179665}, {""lat"": 43.7215396214736, ""lng"": 10.39714536483116}, {""lat"": 43.72133009457079, ""lng"": 10.397097311970645}]",$,⭐⭐⭐⭐(4.5),II Canguro,190 meters,2 minutes,yes,yes,no
"Via Santa Maria, 145, 56126 Pisa PI, Italy",Italian,04,10:00 AM - 10:00 PM,it,"[{""lat"": 43.723162362628486, ""lng"": 10.396418753985987}, {""lat"": 43.72292867916758, ""lng"": 10.396341712862078}, {""lat"": 43.72242191141894, ""lng"": 10.396538931179665}, {""lat"": 43.7215396214736, ""lng"": 10.39714536483116}, {""lat"": 43.72121034647943, ""lng"": 10.397102442679527}]",$,⭐⭐⭐⭐(4.0),Antica Bottega di Pisa ,210 meters,2 minutes,no,no,no
"Via Santa Maria, 105, 56126 Pisa PI, Italy",Japanese,04,11:30 AM - 3:00 PM,jp,"[{""lat"": 43.723162362628486, ""lng"": 10.396418753985987}, {""lat"": 43.72292867916758, ""lng"": 10.396341712862078}, {""lat"": 43.72242191141894, ""lng"": 10.396538931179665}, {""lat"": 43.7215396214736, ""lng"": 10.39714536483116}, {""lat"": 43.72046940740735, ""lng"": 10.397061951492006}]",$$,⭐⭐⭐⭐(4.0),Zen,290 meters,3 minutes,yes,no,no
"Piazza Felice Cavallotti, 1, 56126 Pisa PI, Italy",Italian Sandwiches,04,11:00 AM - 4:00 PM,it,"[{""lat"": 43.723162362628486, ""lng"": 10.396418753985987}, {""lat"": 43.72292867916758, ""lng"": 10.396341712862078}, {""lat"": 43.72242191141894, ""lng"": 10.396538931179665}, {""lat"": 43.7215396214736, ""lng"": 10.39714536483116}, {""lat"": 43.7204619800165, ""lng"": 10.397079380634317}, {""lat"": 43.72010052251538, ""lng"": 10.39723695683036}, {""lat"": 43.7201549888531, ""lng"": 10.397428788725948}]",$,⭐⭐⭐⭐⭐(4.7),L’Ostellino,350 meters,5 minutes,yes,no,no
"Via Santa Maria, 104, 56126 Pisa PI, Italy",Italian,04,11:00 AM – 10:00 PM,it,"[{""lat"": 43.723162362628486, ""lng"": 10.396418753985987}, {""lat"": 43.72292867916758, ""lng"": 10.396341712862078}, {""lat"": 43.72242191141894, ""lng"": 10.396538931179665}, {""lat"": 43.72165713322068, ""lng"": 10.39708892210092}, {""lat"": 43.72169681222733, ""lng"": 10.39735499247219}]",$$,⭐⭐⭐⭐(4.1),Ristorante Santa Maria,160 meters,2 minutes,yes,no,yes
"171 Rue de Rome, 13006 Marseille, France",Ramen,05,11:00 AM - 2:30 PM,cn,"[{""lat"": 43.28875346115044, ""lng"": 5.382652009527711}, {""lat"": 43.28864914480109, ""lng"": 5.382246057889104}, {""lat"": 43.288138276193735, ""lng"": 5.382535870928242}]",$,⭐⭐⭐⭐⭐(4.7),Ramen Go,110 meters,1 minute,yes,no,no
"56 Rue d'Italie, 13006 Marseille, France",Vietnamese,05,12:00 PM - 2:00 PM,vn,"[{""lat"": 43.28875346115044, ""lng"": 5.382652009527711}, {""lat"": 43.28880050484106, ""lng"": 5.382872400782935}, {""lat"": 43.28838915483799, ""lng"": 5.383134123005119}]",$,⭐⭐⭐⭐⭐(4.7),Tantaky,77 meters,1 minute,yes,yes,no
"139 Rue de Rome, 13006 Marseille, France",Japanese,05,11:00 AM - 3:00  PM,jp,"[{""lat"": 43.28875346115044, ""lng"": 5.382652009527711}, {""lat"": 43.28864914480109, ""lng"": 5.382246057889104}, {""lat"": 43.28930496794909, ""lng"": 5.38189387301039}]",$$,⭐⭐⭐⭐(4.2),Shuriken Sushi,110 meters,1 minute,no,no,no
"187 Rue de Rome, 13006 Marseille, France",Indonesian,05,11:00 AM - 10:00 PM,id,"[{""lat"": 43.28875346115044, ""lng"": 5.382652009527711}, {""lat"": 43.28864914480109, ""lng"": 5.382246057889104}, {""lat"": 43.287538320673846, ""lng"": 5.382848066997684}]",$,⭐⭐⭐⭐(4.6),My Little Warung Marseille,180 meters,2 minutes,no,no,no
"6 Rue Sainte-Victoire, 13006 Marseille, France",Asian,05,11:30 AM - 2:30 PM,jp,"[{""lat"": 43.28875346115044, ""lng"": 5.382652009527711}, {""lat"": 43.28864914480109, ""lng"": 5.382246057889104}, {""lat"": 43.28684368059915, ""lng"": 5.383348813640016}, {""lat"": 43.28678804064599, ""lng"": 5.383162258463956}, {""lat"": 43.286664500907, ""lng"": 5.383243876353482}, {""lat"": 43.2865890566682, ""lng"": 5.38291610927332}]",$$,⭐⭐⭐⭐(4.6),Suchic Restaurant ,300 meters,4 minutes,no,no,no
"27 Rue d'Italie, 13006 Marseille, France",Indian,05,11:30 AM - 2:30 PM,in,"[{""lat"": 43.28875346115044, ""lng"": 5.382652009527711}, {""lat"": 43.28882454683428, ""lng"": 5.382952632767609}, {""lat"": 43.289177435567865,""lng"":  5.382737608121792}, {""lat"": 43.28978003591464, ""lng"": 5.38229655696503}]",$,⭐⭐⭐⭐(4.6),Shimla Restaurant,140 meters,2 minutes,yes,yes,yes
"27 Bis Rue d'Italie, 13006 Marseille, France",Japanese,05,11:00 AM - 2:45 PM,jp,"[{""lat"": 43.28875346115044, ""lng"": 5.382652009527711}, {""lat"": 43.28882454683428, ""lng"": 5.382952632767609}, {""lat"": 43.289177435567865,""lng"":  5.382737608121792}, {""lat"": 43.28978003591464, ""lng"": 5.38229655696503}]",$$,⭐⭐⭐⭐(4.1),Sushi Resto,140 meters,2 minutes,no,no,no
